CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	TRADED_VAL
FUTSTKTITAN29-MAR-2023	2607.6	2649.8	2659.9	2649.8	2658.4	2658.4	1.94	3	1125	3	2987456.25
FUTSTKCOALINDIA29-MAR-2023	228.45	225.95	225.95	224.55	225.8	225.8	-1.15	10	42000	10	9468900
FUTSTKTATACHEM29-MAR-2023	956.7	0	0	0		956.85	0.01	0	0	0	0
FUTSTKRAIN23-FEB-2023	180.65	182.45	182.9	180.1	181.25	181.25	0.33	64	66500	19	12060475
FUTSTKLTTS25-JAN-2023	3697.95	3710.95	3754.95	3690.25	3714.35	3714.35	0.44	4897	329800	1649	1226160650
FUTSTKMANAPPURAM29-MAR-2023	121.3	121.6	121.6	121.6	121.6	124.1	2.3	1	6000	1	729600
FUTSTKMANAPPURAM25-JAN-2023	120.2	120.1	123.5	119.7	122.85	122.85	2.2	7340	21570000	3595	2637722700
FUTSTKMFSL23-FEB-2023	689.95	690.15	716.35	690.15	716.35	716.35	3.82	31	24700	38	17440767.5
FUTSTKFSL29-MAR-2023	105.05	0	0	0		105.6	0.52	2	0	0	0
FUTSTKBALRAMCHIN29-MAR-2023	405.65	405.65	405.65	405.65	405.65	408.8	0.77	2	1600	1	649040
FUTSTKHDFCLIFE23-FEB-2023	577.5	577.3	606.1	577.3	602.75	602.75	4.37	171	401500	365	240165585
FUTSTKLICHSGFIN23-FEB-2023	427.7	428.5	428.5	423.75	425.25	425.25	-0.57	126	158000	79	67239600
FUTSTKSIEMENS29-MAR-2023	2874.45	0	0	0		2883.1	0.3	0	0	0	0
FUTSTKUBL29-MAR-2023	1714.2	0	0	0		1696.65	-1.02	1	0	0	0
FUTSTKL&TFH23-FEB-2023	90.9	91.1	92.15	90.3	91.5	91.5	0.66	161	1195816	134	109227529
FUTSTKBEL23-FEB-2023	101	100.85	101.55	100.5	101.1	101.1	0.09	675	860700	151	86867715
FUTSTKMOTHERSON29-MAR-2023	77.1	77.5	77.5	76.9	77.5	77.5	0.51	10	27000	4	2086087.5
FUTSTKGLENMARK23-FEB-2023	431.75	435.05	440.05	433.1	438.7	438.7	1.6	128	82650	57	36133492.5
FUTSTKPIIND23-FEB-2023	3444.5	3488	3488	3488	3488	3445.85	0.03	19	1000	4	3482112.5
FUTSTKTVSMOTOR29-MAR-2023	1090.55	1061.25	1061.25	1030	1040.5	1040.5	-4.58	27	17500	25	18127970
FUTSTKCOLPAL23-FEB-2023	1539.75	1539.75	1542	1528	1531.45	1531.45	-0.53	77	14000	40	21454072.5
FUTSTKMCDOWELL-N29-MAR-2023	883.9	0	0	0		879	-0.55	2	0	0	0
FUTSTKMARUTI25-JAN-2023	8436.4	8422.1	8438.2	8346.8	8412.35	8412.35	-0.28	27776	514500	5145	4320103670
FUTSTKASHOKLEY29-MAR-2023	151	151.8	151.8	149.5	149.95	149.8	-0.79	8	25000	5	3754250
FUTSTKGAIL25-JAN-2023	97.25	97.45	97.85	96.9	97.2	97.2	-0.05	5587	11574750	1265	1127330325
FUTSTKPAGEIND23-FEB-2023	42472.2	42261.6	42768.35	42261.6	42692.75	42692.75	0.51	99	435	29	18554667
FUTSTKSUNTV25-JAN-2023	490.4	488	493.95	484.3	490.15	490.15	-0.05	6174	1869000	1246	913436175
FUTSTKHINDCOPPER23-FEB-2023	118	118.5	118.5	116.3	117.3	117.3	-0.59	143	206400	43	24194160
FUTSTKDALBHARAT23-FEB-2023	1908	0	0	0		1890.15	-0.93	14	0	0	0
FUTSTKAPOLLOTYRE25-JAN-2023	330.15	330.85	332.25	325.9	327.6	327.6	-0.77	3695	6391000	1826	2103506650
FUTSTKTCS25-JAN-2023	3267.65	3269.95	3328.7	3257	3320.45	3320.45	1.61	56835	1979600	11312	6538429065
FUTSTKCOROMANDEL25-JAN-2023	900.55	903.45	906.05	894	903.25	903.25	0.29	4412	403900	577	364105980
