CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	TRADED_VAL
FUTSTKBAJAJ-AUTO29-MAR-2023	3609.15	0	0	0		3678.2	1.91	0	0	0	0
FUTSTKSUNPHARMA29-MAR-2023	1020.05	0	0	0		1032.15	1.18	16	0	0	0
FUTSTKSHREECEM23-FEB-2023	23656.25	23656.3	23958.1	23625.3	23907.4	23907.4	1.06	121	775	31	18423736.25
FUTSTKGODREJPROP25-JAN-2023	1216.1	1220.15	1223	1202	1219.35	1219.35	0.26	9651	540175	1271	655882440
FUTSTKATUL25-JAN-2023	7963.6	7998.55	8010	7822.1	7932.8	7932.8	-0.38	1471	54750	730	432399952.5
FUTSTKBIOCON29-MAR-2023	264.45	264.05	265.1	263.6	265.1	265.1	0.24	23	20700	9	5470895
FUTSTKNATIONALUM25-JAN-2023	81.15	80.75	82.3	79.95	82	82	1.04	8934	23580000	3144	1916739000
FUTSTKMCX25-JAN-2023	1483.95	1482.2	1493.7	1457.8	1470.85	1470.85	-0.88	3388	254400	636	374324140
FUTSTKRBLBANK25-JAN-2023	180.8	182.3	189.85	181.7	187.2	187.2	3.53	6595	33455000	6691	6179899500
FUTSTKPVR29-MAR-2023	1730.55	1700	1700	1682.65	1682.65	1703	-1.59	6	1628	4	2760538.55
FUTSTKLUPIN25-JAN-2023	738.65	738.25	747.7	735.85	746.2	746.2	1.02	7132	986000	1160	732522945
FUTSTKTATACOMM23-FEB-2023	1347.35	1347.05	1352.05	1332.15	1341.7	1341.7	-0.41	85	17000	34	22825425
FUTSTKCANFINHOME29-MAR-2023	551.65	0	0	0		554	0.42	1	0	0	0
FUTSTKMCX23-FEB-2023	1490.6	1498.95	1499	1468	1473	1475.45	-1.01	64	5200	13	7684220
FUTSTKBHEL25-JAN-2023	79.4	79.4	82.65	79.35	82.3	82.3	3.65	8239	49728000	4736	4035980025
FUTSTKSBICARD23-FEB-2023	790.85	789.65	792.75	781.15	785.25	785.25	-0.7	224	71200	89	55899920
FUTSTKKOTAKBANK23-FEB-2023	1839.25	1846.5	1850	1826.75	1839.9	1839.9	0.03	1038	92000	230	169160520
FUTSTKTATASTEEL23-FEB-2023	116.9	117.4	117.95	115.5	117.7	117.7	0.68	1077	3454000	628	403236625
FUTSTKCANFINHOME25-JAN-2023	545.45	546.75	552.8	540.55	548.7	548.7	0.59	4236	1246050	1278	681025556.3
FUTSTKAPOLLOHOSP29-MAR-2023	4510	4474.05	4474.05	4434.05	4460	4498.4	-0.25	9	625	5	2783262.5
FUTIDXBANKNIFTY23-FEB-2023	43321.8	43389.95	43474.15	42653	42935.75	42935.75	-0.89	9387	211375	8455	9085655766
FUTSTKABFRL25-JAN-2023	281.05	281.8	283.8	278.25	281.3	281.3	0.08	5012	2623400	1009	737347000
FUTSTKBHEL23-FEB-2023	79.8	79.8	82.95	79.8	82.65	82.65	3.57	419	2110500	201	171648750
FUTSTKBRITANNIA23-FEB-2023	4276.75	4325	4418.4	4323.6	4354.4	4354.4	1.81	132	38600	193	168567130
FUTSTKLTTS29-MAR-2023	3775.95	3550	3572.1	3546	3558.75	3558.75	-5.75	29	4600	23	16387450
FUTSTKCOROMANDEL23-FEB-2023	897.9	895.05	911	895.05	907.4	907.4	1.05	103	21700	31	19665205
FUTSTKASHOKLEY25-JAN-2023	146.7	146.9	149.4	146.05	149.05	149.05	1.6	13178	18265000	3653	2700628500
FUTSTKTATAPOWER23-FEB-2023	210.15	211.2	211.5	207.3	210.1	210.1	-0.02	1251	1515375	449	317605725
FUTSTKGAIL29-MAR-2023	96.95	96.55	98.35	96.55	98.35	98.35	1.44	8	82350	9	8022262.5
FUTSTKSUNTV29-MAR-2023	486.1	481.4	481.4	481.4	481.4	489.45	0.68	4	4500	3	2166300
FUTSTKTATAMOTORS25-JAN-2023	387.45	389.05	390.85	384	389.05	389.05	0.41	52789	21280950	14934	8258422628
FUTSTKTATAPOWER25-JAN-2023	208.75	209.7	210.15	205.7	208.8	208.8	0.02	30638	15217875	4509	3168543150
FUTSTKMCX29-MAR-2023	1501.95	1475	1475	1474	1474	1484.85	-1.13	3	800	2	1179600
FUTSTKWHIRLPOOL23-FEB-2023	1521.05	1523	1539.9	1523	1526.2	1526.2	0.33	33	9450	27	14442190
FUTSTKBATAINDIA23-FEB-2023	1654.7	1657.8	1662.3	1633.6	1652.8	1652.8	-0.11	187	17050	62	28136625
FUTSTKDLF23-FEB-2023	375.35	375.4	378.15	372.85	376.8	376.8	0.38	299	173250	105	65054962.5
FUTSTKOBEROIRLTY25-JAN-2023	862.45	865.9	870	850	863.55	863.55	0.12	8703	611100	873	526553545
FUTSTKSHREECEM29-MAR-2023	24388	23679.6	23679.6	23600	23600	24617.5	0.94	6	75	3	1774182.5
FUTSTKADANIENT29-MAR-2023	3800.05	3795	3825.85	3767.5	3819.4	3819.4	0.5	77	7750	31	29436725
FUTSTKICICIBANK23-FEB-2023	909.15	911.85	911.85	881.35	889.05	889.05	-2.21	2933	681100	973	608278790
FUTSTKIDFC29-MAR-2023	84.5	85.1	85.3	84.9	85.3	85.3	0.94	14	80000	8	6808000
FUTSTKINFY23-FEB-2023	1505.8	1512.8	1512.8	1486	1491	1491	-0.98	2082	546400	1366	818937300
FUTSTKSHRIRAMFIN29-MAR-2023	1312	1296.9	1296.9	1296.9	1296.9	1340.6	2.17	4	600	1	778140
FUTSTKDRREDDY23-FEB-2023	4288	4308.65	4336.2	4280.75	4331.6	4331.6	1.01	138	9750	78	42019181.25
FUTSTKPIIND25-JAN-2023	3360.9	3365.1	3383.2	3330.75	3348.1	3348.1	-0.38	6138	145250	581	487408962.5
FUTSTKABCAPITAL23-FEB-2023	149.6	149.65	151.25	148.45	151.05	151.05	0.96	111	324000	60	48567330
FUTSTKM&M25-JAN-2023	1242.35	1243.05	1260.75	1237.4	1258.3	1258.3	1.28	16842	2043300	2919	2559134760
FUTSTKINDHOTEL23-FEB-2023	317.05	317.1	318.65	313.05	318.15	318.15	0.34	244	170000	85	53717700
FUTSTKDIVISLAB23-FEB-2023	3459.55	3454.75	3489.8	3437.1	3483.5	3483.5	0.69	241	15750	105	54601965
FUTSTKBAJAJFINSV29-MAR-2023	1572.4	1539.4	1539.4	1478	1488.3	1488.3	-5.34	63	50000	100	74767625
FUTSTKTORNTPOWER29-MAR-2023	492.1	490	490	485	485	485	-1.44	5	6000	4	2925000
FUTSTKABCAPITAL25-JAN-2023	148.6	148.6	150.45	147.35	150.1	150.1	1	6638	7592400	1406	1131603480
FUTSTKCUB29-MAR-2023	179.35	180	180.25	178	178	180.65	0.72	8	40000	8	7194500
FUTSTKCONCOR23-FEB-2023	734	740.5	747.35	737.45	746.05	746.05	1.64	78	15000	15	11140400
FUTSTKIDFC23-FEB-2023	84.05	84.85	85	83.5	84.9	84.9	1.01	176	400000	40	33744500
FUTSTKNESTLEIND23-FEB-2023	19680.95	19739.1	20058.3	19739.1	19941.55	19941.55	1.32	264	2520	63	50039808
FUTSTKBHARTIARTL23-FEB-2023	816.6	823.25	825.6	810.6	813.05	813.05	-0.43	1060	233700	246	190753635
FUTSTKBANKBARODA23-FEB-2023	183.75	184.45	186.25	182.1	185.7	185.7	1.06	389	2193750	375	403881660
FUTSTKADANIPORTS29-MAR-2023	822.95	817.85	832	817.85	832	832	1.09	27	10625	17	8761000
FUTSTKAMBUJACEM29-MAR-2023	526.1	528	533.15	525.75	531.35	531.35	0.99	485	1015200	564	539837280
FUTSTKTECHM29-MAR-2023	1034.65	1038	1038	1023.35	1023.35	1027.5	-0.69	28	10200	17	10508850
FUTSTKTATACOMM25-JAN-2023	1339.5	1341.1	1346.4	1324.4	1334.4	1334.4	-0.38	3990	569500	1139	759905700
FUTSTKHCLTECH25-JAN-2023	1031.35	1034.6	1045.4	1028.5	1039.8	1039.8	0.81	13102	2439500	3485	2534937755
FUTSTKIOC25-JAN-2023	78.35	78.8	79.75	78.6	79.6	79.6	1.59	8498	19860750	2037	1572024675
FUTSTKHCLTECH29-MAR-2023	1053.05	1050.85	1056.65	1048.7	1053	1053	0	7	4200	6	4419940
FUTSTKJINDALSTEL25-JAN-2023	587.1	590.15	597.8	581.5	595.85	595.85	1.49	16411	7930000	6344	4684671875
FUTSTKZEEL23-FEB-2023	239.2	239.5	242.4	238.3	242.1	242.1	1.21	382	486000	162	116617200
FUTSTKSHRIRAMFIN25-JAN-2023	1321.8	1328	1334.85	1305.25	1316	1316	-0.43	7809	780600	1301	1028048550
FUTSTKINDUSTOWER23-FEB-2023	185.6	186	188.2	186	188	188	1.29	168	145600	52	27300560
FUTSTKHCLTECH23-FEB-2023	1037.4	1042	1050	1040.95	1045.95	1045.95	0.82	277	70700	101	73912090
FUTSTKLTIM23-FEB-2023	4313.8	4325.05	4325.05	4276.25	4296.95	4296.95	-0.39	615	8100	54	34793130
FUTSTKIGL23-FEB-2023	421.3	421.3	427	419	426.1	426.1	1.13	95	64625	47	27371712.5
FUTSTKPOLYCAB23-FEB-2023	2605.3	2611.1	2667.6	2611.05	2663.1	2663.1	2.21	58	19800	66	52438230
FUTSTKVEDL23-FEB-2023	311.1	313.95	315.4	310	314.65	314.65	1.14	467	526000	263	164490700
FUTSTKPIDILITIND25-JAN-2023	2524.5	2529.8	2572.25	2526.4	2532.45	2532.45	0.31	10394	408000	1632	1037787763
FUTSTKESCORTS25-JAN-2023	2148.8	2156.35	2180.9	2117.25	2174.45	2174.45	1.19	2663	440000	1600	946878652.5
FUTSTKGUJGASLTD23-FEB-2023	477.85	478.4	490.15	475	489.55	489.55	2.44	142	42500	34	20635562.5
FUTSTKSBIN25-JAN-2023	608.2	609.8	613.65	604.85	608.5	608.5	0.04	35145	16309500	10873	9933073200
FUTSTKCROMPTON29-MAR-2023	345.3	0	0	0		344.1	-0.34	1	0	0	0
FUTSTKIGL25-JAN-2023	418.7	419.05	424.8	415.15	423.9	423.9	1.24	5959	1970375	1433	829182475
FUTSTKSUNPHARMA25-JAN-2023	1008.25	1010.45	1023.65	1010.45	1018.6	1018.6	1.02	21388	2902200	4146	2955049405
FUTSTKAXISBANK25-JAN-2023	962.55	964.6	965.8	942.35	952.85	952.85	-1	35345	15429600	12858	14704510080
FUTSTKINFY29-MAR-2023	1515.5	1522.5	1522.5	1495	1500.5	1500.5	-0.98	1392	59200	148	89179360
FUTSTKLUPIN23-FEB-2023	743.45	742.75	751.45	742.05	750.85	750.85	0.99	178	56950	67	42579772.5
FUTSTKIPCALAB25-JAN-2023	858.2	853.15	867.45	851.95	861.8	861.8	0.41	2427	282100	434	242492087.5
FUTSTKEICHERMOT23-FEB-2023	3247.45	3256.55	3290.95	3254.25	3287.5	3287.5	1.23	196	16800	96	54943288.75
FUTSTKATUL29-MAR-2023	8104.95	8100.05	8100.05	8019.05	8019.05	8063.9	-0.5	2	150	2	1208932.5
FUTSTKITC29-MAR-2023	327.85	327.85	334	327.85	333.55	333.55	1.73	58	76800	48	25556000
FUTSTKRAIN25-JAN-2023	176.95	176.95	180	175.1	178.1	178.1	0.64	2940	4798500	1371	849151100
FUTSTKMRF23-FEB-2023	87865.7	88636.5	92141.6	88636.5	91031.55	91031.55	3.6	104	2950	295	267477590.5
FUTSTKGNFC25-JAN-2023	582.3	584.85	584.85	567	574.65	574.65	-1.31	5775	2380300	1831	1370632965
FUTSTKJKCEMENT29-MAR-2023	2959.65	0	0	0		2929.45	-1.02	0	0	0	0
FUTSTKINTELLECT29-MAR-2023	445.75	0	0	0		435.6	-2.27	4	0	0	0
FUTSTKBRITANNIA25-JAN-2023	4255.7	4275.5	4394.7	4243.55	4332.35	4332.35	1.8	5384	920200	4601	3998230130
FUTSTKBHARTIARTL25-JAN-2023	812.3	819.5	821.3	805.75	808.45	808.45	-0.47	40250	6058150	6377	4923389203
FUTSTKOFSS23-FEB-2023	3043.15	3044.95	3044.95	3024.1	3024.1	3034.4	-0.28	155	800	4	2428350
FUTSTKPETRONET23-FEB-2023	218.75	217.7	223.2	217.7	223.05	223.05	1.96	78	129000	43	28563900
FUTSTKCOLPAL25-JAN-2023	1519.6	1525.35	1542.4	1519.55	1529.7	1529.7	0.66	6311	566300	1618	866388950
FUTSTKTATACOMM29-MAR-2023	1357.65	1355	1355	1354.45	1355	1347.4	-0.75	6	1500	3	2032225
FUTSTKULTRACEMCO29-MAR-2023	7119.2	7120	7120	7120	7120	7116.75	-0.03	6	100	1	712000
FUTSTKCHOLAFIN23-FEB-2023	722.85	707.5	707.5	685	691.65	691.65	-4.31	71	82500	66	57212812.5
FUTSTKSAIL29-MAR-2023	86.1	86.25	88	85.65	87.9	87.9	2.09	57	208000	26	18095600
FUTSTKTATASTEEL29-MAR-2023	117.55	117.5	118.75	116.3	118.35	118.35	0.68	123	407000	74	47870350
FUTSTKBSOFT29-MAR-2023	299.45	297.2	297.2	297.2	297.2	297.2	-0.75	9	2000	1	594400
FUTSTKL&TFH25-JAN-2023	89	88.95	89.55	87.8	89.15	89.15	0.16	6947	16063200	1800	1426594656
FUTSTKINTELLECT23-FEB-2023	442.95	443.25	443.25	432.1	432.6	432.6	-2.33	65	18000	18	7799750
FUTSTKBAJAJFINSV23-FEB-2023	1563.7	1555.6	1555.6	1468	1481.5	1481.5	-5.25	721	457000	914	680337850
FUTSTKBANDHANBNK23-FEB-2023	242.85	244.3	245	238.5	243.75	243.75	0.37	356	545400	303	131697540
FUTSTKEXIDEIND29-MAR-2023	180.2	180.2	182.2	180.2	182.2	182.2	1.1	12	10800	3	1957320
FUTSTKHINDPETRO23-FEB-2023	243	244.75	250.6	243.95	248.25	248.25	2.16	137	275400	102	67982760
FUTSTKGNFC23-FEB-2023	586.5	587.95	587.95	570.25	578.45	578.45	-1.37	182	105300	81	60907145
FUTSTKLTTS23-FEB-2023	3646.35	3627.9	3628.75	3546.65	3583.25	3583.25	-1.73	423	33000	165	118392530
FUTSTKTVSMOTOR23-FEB-2023	1022.35	1022.35	1032.1	1016.55	1031.35	1031.35	0.88	193	61600	88	63157640
FUTSTKMCDOWELL-N25-JAN-2023	855.65	857.5	864.45	845.3	854.55	854.55	-0.12	23475	1970000	3152	1680899531
FUTSTKICICIGI23-FEB-2023	1262.75	1267	1292.35	1267	1290.05	1290.05	2.16	70	14025	33	17976947.5
FUTSTKJUBLFOOD29-MAR-2023	506.95	503.5	512.25	500.05	511.5	511.5	0.89	22	13750	11	6961187.5
