CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	TRADED_VAL
FUTSTKTITAN29-MAR-2023	2638.65	2640	2640	2640	2640	2602.2	-1.38	6	750	2	1980000
FUTSTKCOALINDIA29-MAR-2023	218.6	217.5	219.85	217.5	218.6	221.6	1.37	26	54600	13	11935140
FUTSTKTATACHEM29-MAR-2023	946.5	946	958	946	958	958	1.21	4	2000	4	1902200
FUTSTKRAIN23-FEB-2023	177.8	177.3	179.35	176.55	179.3	179.3	0.84	63	101500	29	18071900
FUTSTKLTTS25-JAN-2023	3681.45	3669.95	3687	3577	3619.35	3619.35	-1.68	4991	406600	2033	1473769940
FUTSTKMANAPPURAM29-MAR-2023	123.55	122	122.65	121.75	122.5	122.5	-0.84	6	36000	6	4398300
FUTSTKMANAPPURAM25-JAN-2023	122.15	123.5	123.6	120.25	121.7	121.7	-0.36	7731	10764000	1794	1308149100
FUTSTKMFSL23-FEB-2023	718.75	730.2	746.3	727.5	741.5	741.5	3.16	62	37050	57	27294735
FUTSTKFSL29-MAR-2023	103.6	103.6	103.6	103.05	103.15	103.9	0.28	6	15600	3	1610960
FUTSTKBALRAMCHIN29-MAR-2023	392.9	388.9	388.9	388.9	388.9	395.25	0.59	3	3200	2	1244480
FUTSTKHDFCLIFE23-FEB-2023	603.85	605.85	616.5	604.3	614.6	614.6	1.78	204	198000	180	121068475
FUTSTKLICHSGFIN23-FEB-2023	423.35	426.3	433	417.15	422.65	422.65	-0.16	138	268000	134	114037500
FUTSTKSIEMENS29-MAR-2023	2860.05	0	0	0		2940.4	2.8	0	0	0	0
FUTSTKUBL29-MAR-2023	1706.2	0	0	0		1707.1	0.05	1	0	0	0
FUTSTKL&TFH23-FEB-2023	89.5	89.2	89.9	88.45	89.65	89.65	0.16	205	883476	99	78918947.8
FUTSTKBEL23-FEB-2023	99.45	99.35	100.5	98.9	100.4	100.4	0.95	747	1584600	278	157667415
FUTSTKMOTHERSON29-MAR-2023	75.95	75.95	75.95	75.95	75.95	76.7	0.98	11	6750	1	512662.5
FUTSTKGLENMARK23-FEB-2023	432.4	430.55	439.2	430.55	439	439	1.52	108	44950	31	19636480
FUTSTKPIIND23-FEB-2023	3380	3365	3395.9	3350	3350	3359	-0.62	23	750	3	2527725
FUTSTKTVSMOTOR29-MAR-2023	1021	1020	1029.4	1016.9	1029.35	1029.35	0.81	34	3500	5	3580920
FUTSTKCOLPAL23-FEB-2023	1530.1	1535.45	1550.7	1530.5	1537.6	1537.6	0.49	71	13300	38	20485710
FUTSTKMCDOWELL-N29-MAR-2023	864.9	866.85	866.9	857.15	863.65	863.65	-0.14	5	6250	10	5388437.5
FUTSTKMARUTI25-JAN-2023	8447.65	8461.15	8522.65	8428.2	8507.95	8507.95	0.71	27123	522400	5224	4425160340
FUTSTKASHOKLEY29-MAR-2023	148.35	149.5	150.7	148.05	150.6	150.6	1.51	15	70000	14	10459000
FUTSTKGAIL25-JAN-2023	95.75	96.05	98.1	95.35	97.85	97.85	2.19	5126	14511900	1586	1402753560
FUTSTKSUNTV25-JAN-2023	480	481.05	484.5	476.45	483.8	483.8	0.79	6311	1059000	706	509189175
FUTSTKPAGEIND23-FEB-2023	42601.55	42574	42737.2	42291.2	42606.5	42606.5	0.01	122	720	48	30597245.25
FUTSTKHINDCOPPER23-FEB-2023	115.35	115.4	117.7	115.2	116.55	116.55	1.04	144	336000	70	39073680
FUTSTKDALBHARAT23-FEB-2023	1860.65	1863.65	1889.2	1863.6	1886.85	1886.85	1.4	18	9000	18	16929225
FUTSTKAPOLLOTYRE25-JAN-2023	321.85	324	339.8	323.8	339.25	339.25	5.4	4254	27541500	7869	9217672100
FUTSTKTCS25-JAN-2023	3314.5	3324.4	3340.95	3286.9	3311.05	3311.05	-0.1	54796	1909425	10911	6327651610
FUTSTKCOROMANDEL25-JAN-2023	897.5	898.9	912.5	893	906.7	906.7	1.02	4292	744800	1064	674566025
FUTSTKHEROMOTOCO25-JAN-2023	2714.05	2713.85	2773	2713.85	2769.1	2769.1	2.02	7965	683400	2278	1881447210
FUTSTKDIVISLAB25-JAN-2023	3442.45	3441.35	3476.55	3418.1	3468.15	3468.15	0.74	16966	431700	2878	1491240623
FUTSTKINDHOTEL29-MAR-2023	319.6	315	320.15	315	320.15	320.15	0.17	8	4000	2	1270300
FUTSTKPNB23-FEB-2023	56.9	57.15	57.7	56	57.4	57.4	0.87	814	7696000	481	437052000
FUTSTKBERGEPAINT25-JAN-2023	575	578.1	583.4	573.05	575.55	575.55	0.09	5428	1150600	1046	664222020
FUTSTKSHREECEM25-JAN-2023	23852.9	24000	24224.6	23750	24124.2	24124.2	1.13	10487	44500	1780	1068417114
FUTSTKHDFCLIFE29-MAR-2023	607.35	613.7	618.9	613.7	617.9	619	1.91	12	11000	10	6772920
FUTSTKPERSISTENT29-MAR-2023	3908.35	3890	3890	3890	3890	3990.9	2.11	9	175	1	680750
FUTSTKIDFCFIRSTB23-FEB-2023	60.85	61.35	61.35	60	61.1	61.1	0.41	518	3015000	201	182970000
FUTSTKRAMCOCEM23-FEB-2023	704.2	705	707.9	699.1	707.6	707.6	0.48	105	37400	44	26308095
FUTSTKINDUSINDBK25-JAN-2023	1226.85	1229.55	1234.85	1206.8	1220	1220	-0.55	52773	3685950	8191	4495587143
FUTSTKSBILIFE23-FEB-2023	1269.1	1269.95	1285.2	1269.95	1281.45	1281.45	0.97	52	42750	57	54657525
FUTIDXNIFTY29-MAR-2023	18252.2	18294.9	18325	18118.05	18207.4	18207.4	-0.24	2994	185900	3718	3386485713
FUTSTKINDHOTEL25-JAN-2023	315.45	315.35	317.05	311.2	316.4	316.4	0.3	12690	3346000	1673	1053099400
FUTSTKTATACONSUM23-FEB-2023	769.5	776.45	787.3	768.9	773	773	0.45	144	154800	172	119888415
FUTIDXFINNIFTY31-JAN-2023	19103.45	19123.2	19123.2	18769.55	18887.1	18887.1	-1.13	413	32000	800	606183420
FUTSTKMUTHOOTFIN29-MAR-2023	1107.35	1056.2	1056.5	1048	1049.55	1098.7	-0.78	30	4400	8	4628305
FUTSTKFEDERALBNK29-MAR-2023	138.6	138.1	138.75	136.85	138.75	138.75	0.1	29	40000	8	5520250
FUTIDXMIDCPNIFTY28-FEB-2023	7194.15	0	0	0		7236.85	0.59	0	0	0	0
FUTSTKLAURUSLABS25-JAN-2023	376.05	376.3	380.95	375.05	380.5	380.5	1.18	8714	926200	842	350468305
FUTSTKJSWSTEEL23-FEB-2023	741.55	746	756	742.15	755.1	755.1	1.82	237	198450	147	148991940
FUTSTKINDUSINDBK23-FEB-2023	1232.8	1239.05	1240.95	1214	1226.15	1226.15	-0.53	600	94950	211	116380125
FUTSTKIDFCFIRSTB25-JAN-2023	60.5	60.6	61.05	59.55	60.7	60.7	0.33	10534	46980000	3132	2832750750
FUTSTKDRREDDY25-JAN-2023	4264.85	4260.05	4315	4254.35	4308.5	4308.5	1.02	17613	373625	2989	1603810388
FUTSTKHDFCAMC25-JAN-2023	2172.85	2160	2194.9	2154.1	2192.65	2192.65	0.91	5651	324300	1081	706918335
FUTSTKTATAMOTORS29-MAR-2023	391.1	390.25	394	388	393.1	393.1	0.51	320	208050	146	81421935
FUTSTKHAL29-MAR-2023	2521.3	2500	2530.35	2489.75	2530.35	2530.35	0.35	11	2700	9	6759675
FUTSTKPIDILITIND29-MAR-2023	2550.8	0	0	0		2557.55	0.26	2	0	0	0
FUTSTKSHRIRAMFIN23-FEB-2023	1315.85	1317.6	1322	1300	1310.1	1310.1	-0.43	380	28800	48	37732350
FUTSTKOFSS25-JAN-2023	3024.05	3020.05	3026	3003.05	3016.15	3016.15	-0.26	2448	37800	189	113963990
FUTSTKINDIGO25-JAN-2023	2013.25	2031.5	2052.8	2021.1	2048.95	2048.95	1.77	10309	1239000	4130	2526873750
FUTSTKMGL29-MAR-2023	864.95	0	0	0		880.95	1.84	0	0	0	0
FUTSTKMARICO29-MAR-2023	509.85	514.15	525	514.15	517.1	517.1	1.42	7	14400	12	7467480
FUTSTKCUMMINSIND25-JAN-2023	1386.6	1389.9	1417.5	1387.25	1408.9	1408.9	1.6	2616	783000	1305	1101381840
FUTSTKBANDHANBNK29-MAR-2023	243.9	244.3	246	240	244.6	244.6	0.28	34	64800	36	15739830
FUTSTKGNFC29-MAR-2023	591.05	582	582	578.65	578.65	581.05	-1.69	16	2600	2	1508845
FUTSTKDIXON23-FEB-2023	3852.75	3852	3852	3765	3817.4	3817.4	-0.91	171	12250	98	46652731.25
FUTSTKLTIM29-MAR-2023	4332.7	4339	4339	4339	4339	4326.85	-0.13	16	150	1	650850
FUTSTKAUROPHARMA23-FEB-2023	444.3	443.45	448.55	440.9	447.95	447.95	0.82	622	160000	160	71169350
FUTSTKBHARATFORG23-FEB-2023	869.05	866	888.9	866	888.35	888.35	2.22	83	44000	44	38699450
FUTSTKINDIACEM25-JAN-2023	220.6	221.3	222.8	218.65	221.95	221.95	0.61	5091	3071100	1059	677477265
FUTSTKAXISBANK23-FEB-2023	967.35	970.15	970.15	948	958	958	-0.96	611	438000	365	419566980
FUTSTKGODREJPROP29-MAR-2023	1232.25	1234.3	1234.4	1234.3	1234.35	1234.35	0.17	4	850	2	1049197.5
FUTSTKACC25-JAN-2023	2423.8	2421.4	2454.25	2386	2450.05	2450.05	1.08	10537	594500	2378	1443339950
FUTSTKLT23-FEB-2023	2091.95	2094.55	2111	2090.35	2107.65	2107.65	0.75	364	45300	151	95239950
FUTSTKCONCOR25-JAN-2023	732.6	734.6	745	731.35	743.65	743.65	1.5	6136	1017000	1017	751166850
FUTSTKMRF25-JAN-2023	87872.2	88273.1	92267.9	88237.45	91089.05	91089.05	3.66	5147	32900	3290	2980991981
FUTSTKVOLTAS23-FEB-2023	812.55	812.2	819.1	806.65	818.35	818.35	0.71	369	47400	79	38517930
FUTSTKESCORTS23-FEB-2023	2150	2164	2180	2130	2174.95	2174.95	1.16	66	6875	25	14873567.5
FUTSTKBALKRISIND25-JAN-2023	2125.75	2130.3	2241	2130.3	2186.25	2186.25	2.84	6328	1249500	4165	2743258800
FUTSTKFEDERALBNK23-FEB-2023	137.35	137.9	138.3	136.3	138.1	138.1	0.54	300	735000	147	101012750
FUTSTKAARTIIND25-JAN-2023	605.75	604.6	609.55	599.6	608.6	608.6	0.47	3553	735250	865	445352782.5
FUTSTKVOLTAS29-MAR-2023	818.6	819.5	819.5	816.65	818	822.15	0.43	9	4200	7	3435240
FUTSTKHEROMOTOCO29-MAR-2023	2752.25	2735	2755	2735	2755	2755	0.09	2	900	3	2472000
FUTSTKPFC25-JAN-2023	155.45	155.25	158.9	153.55	157.8	157.8	1.51	10432	22840800	3684	3569684410
FUTSTKLALPATHLAB29-MAR-2023	2125	2090	2145	2090	2145	2302.65	8.36	31	3000	12	6372137.5
FUTSTKTITAN23-FEB-2023	2624.55	2614.3	2648.6	2574.2	2591.35	2591.35	-1.26	337	152250	406	395801100
FUTSTKTRENT29-MAR-2023	1328.15	1313.2	1315.75	1310	1310	1299.95	-2.12	33	4000	10	5258660
FUTSTKBSOFT25-JAN-2023	296.15	296.55	297	289.95	293.2	293.2	-0.99	4303	1824000	912	533411600
FUTSTKFEDERALBNK25-JAN-2023	136.75	137.1	137.8	135.6	137.5	137.5	0.54	14849	18540000	3708	2537908750
FUTSTKIDEA29-MAR-2023	8	8	8.05	7.85	8.05	8.05	0.62	42	1540000	22	12236000
FUTSTKTORNTPOWER23-FEB-2023	482.2	485.6	486	478	485.6	485.6	0.7	36	16500	11	7952850
FUTSTKMPHASIS25-JAN-2023	2010.95	2009.8	2022.25	1985.25	2018.4	2018.4	0.37	6055	411400	1496	825544225
FUTSTKLAURUSLABS29-MAR-2023	380.1	380.4	382.9	380.4	381.35	384.5	1.15	20	4400	4	1679700
FUTSTKPIIND29-MAR-2023	3393.9	0	0	0		3380.4	-0.39	0	0	0	0
FUTSTKRELIANCE29-MAR-2023	2563.85	2570.15	2577	2550	2561.25	2561.25	-0.1	178	25000	100	64062450
FUTSTKBANDHANBNK25-JAN-2023	241.55	242.85	243.8	237	242.3	242.3	0.31	27438	13851000	7695	3331986750
FUTSTKDALBHARAT29-MAR-2023	1877.4	0	0	0		1904.45	1.44	0	0	0	0
FUTSTKPNB29-MAR-2023	57.25	57.95	57.95	56.45	57.65	57.65	0.69	60	352000	22	20120000
FUTSTKBEL29-MAR-2023	99.5	99.8	100.75	99.4	100.7	100.7	1.2	19	91200	16	9108600
FUTSTKAARTIIND23-FEB-2023	605.1	606.4	608.8	600.1	608.4	608.4	0.54	213	42500	50	25650790
FUTSTKAARTIIND29-MAR-2023	608.45	608.45	608.8	601	608.8	608.8	0.05	15	21250	25	12847410
FUTSTKTATACHEM25-JAN-2023	934.15	937.3	947.65	928.35	945.85	945.85	1.25	14084	1289000	2578	1209596550
FUTSTKTATAPOWER29-MAR-2023	211.9	211.8	212.45	209.3	211.1	211.1	-0.37	76	54000	16	11391806.25
FUTSTKLICHSGFIN29-MAR-2023	428	430	430	420.75	420.75	427.05	-0.22	10	10000	5	4245900
