CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	TRADED_VAL
FUTSTKRECLTD23-FEB-2023	123.65	123.65	124.35	120.6	122.8	122.8	-0.68	271	2048000	256	251424000
FUTSTKHINDPETRO25-JAN-2023	239.15	241.5	245.65	238.1	241.9	241.9	1.14	7244	8669700	3211	2092670370
FUTSTKEXIDEIND25-JAN-2023	181.55	181.25	181.9	177.65	179.55	179.55	-1.1	6372	4734000	1315	850235220
FUTSTKBIOCON23-FEB-2023	266.65	266.15	266.15	262.9	263.15	263.15	-1.31	347	151800	66	40075085
FUTSTKCUB25-JAN-2023	179.75	180.5	181	175.35	178.6	178.6	-0.63	1755	3585000	717	638682000
FUTSTKNAVINFLUOR25-JAN-2023	4057.25	4051.4	4060.75	3939.9	3959.35	3959.35	-2.41	2575	354900	2366	1411391063
FUTSTKEICHERMOT25-JAN-2023	3231.9	3226.55	3252.55	3199.15	3231.4	3231.4	-0.01	15453	678475	3877	2189684210
FUTSTKNESTLEIND25-JAN-2023	19805.65	19769.9	19851.4	19590.05	19613.9	19613.9	-0.96	6096	35640	891	700657316
FUTSTKPEL25-JAN-2023	845	842.75	844.35	815	819.9	819.9	-2.97	10209	1283150	2333	1058598448
FUTSTKICICIGI25-JAN-2023	1274.9	1277.05	1284.4	1248.75	1254.5	1254.5	-1.6	7988	695725	1637	879962245
FUTSTKRAMCOCEM25-JAN-2023	712.7	716.1	720	704.5	705.6	705.6	-0.99	4354	1143250	1345	814256225
FUTSTKM&MFIN25-JAN-2023	235.75	236.1	239	231.95	234.4	234.4	-0.57	5978	10632000	2658	2503958600
FUTSTKTATACONSUM25-JAN-2023	770.05	768.95	769.8	762.05	764.3	764.3	-0.74	9694	1111500	1235	849967965
FUTSTKDIXON25-JAN-2023	3930.55	3914.85	3937	3857	3865.8	3865.8	-1.64	3351	135500	1084	527126131.3
FUTSTKBHARATFORG25-JAN-2023	884.55	884.55	886.05	861.25	865.65	865.65	-2.13	6328	2489000	2489	2164511750
FUTSTKCHAMBLFERT25-JAN-2023	316.35	313.45	322	311.9	317.65	317.65	0.41	4561	5727000	3818	1823515050
FUTSTKADANIENT25-JAN-2023	3849.8	3850.1	3885.7	3812.65	3832.75	3832.75	-0.44	49880	2580500	10322	9922631638
FUTSTKBOSCHLTD25-JAN-2023	17214.6	17185.6	17185.6	16809.6	16869.65	16869.65	-2	2623	53900	1078	912105065
FUTSTKDELTACORP23-FEB-2023	219.55	217.2	218.2	214.65	215.2	215.2	-1.98	184	140000	50	30284380
FUTSTKMARUTI23-FEB-2023	8467.7	8452.7	8611.35	8391.55	8498.6	8498.6	0.36	605	46600	466	395749275
FUTSTKDABUR25-JAN-2023	562.8	560.6	566.4	560	561.7	561.7	-0.19	9813	1466250	1173	826155312.5
FUTIDXMIDCPNIFTY31-JAN-2023	7249.55	7131.85	7142.8	7131.85	7140	7140	-1.51	2	375	5	2677305
FUTSTKTORNTPOWER25-JAN-2023	502.95	504	505	484.65	485.95	485.95	-3.38	2180	909000	606	446323875
FUTSTKINDUSTOWER25-JAN-2023	190.3	190.85	190.85	184.8	185.15	185.15	-2.7	5380	4891600	1747	911168020
FUTSTKHAL25-JAN-2023	2557.9	2554.35	2557.85	2485.95	2493.7	2493.7	-2.5	10763	1097700	3659	2761423410
FUTSTKAMBUJACEM25-JAN-2023	534.4	535.7	539.7	520.55	521.9	521.9	-2.33	46016	16394400	9108	8704651410
FUTSTKTORNTPHARM25-JAN-2023	1556.05	1552.8	1564.3	1540.05	1552.55	1552.55	-0.22	3449	178500	357	276992125
FUTSTKAUBANK25-JAN-2023	647.55	648.45	651.8	634.1	637	637	-1.62	8155	3385000	3385	2170137450
FUTSTKITC25-JAN-2023	332.95	333.15	333.6	326.6	328.1	328.1	-1.45	42670	9267200	5792	3045320880
FUTSTKVEDL25-JAN-2023	321.5	320.35	320.35	306.95	309.15	309.15	-3.84	17297	23526000	11763	7319746600
FUTSTKLT25-JAN-2023	2101.7	2060.2	2112	2060.2	2079.6	2079.6	-1.05	27254	1845600	6152	3845784630
