CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	UNDRLNG_ST	NOTIONAL_V	PREMIUM_TR
OPTSTKTATASTEEL29-MAR-2023CE99	23.65	0	0	0		21.35	2.3	0	0	0	115.75	0	0
OPTSTKBEL29-MAR-2023CE99	9.05	0	0	0		8.05	1	0	0	0	98.75	0	0
OPTSTKFSL29-MAR-2023PE99	6.4	0	0	0		6.95	0.55	0	0	0	102.2	0	0
OPTIDXBANKNIFTY19-JAN-2023PE43400	489	459.15	786.55	431.4	718.6	718.6	229.6	113	8550	342	42958.8	376389553.8	5319553.75
OPTIDXBANKNIFTY12-JAN-2023PE43400	360.05	341.95	690.2	302.4	604.1	604.1	244.05	3430	1055525	42221	42958.8	46295745475	485960475
OPTSTKSAIL29-MAR-2023PE99	14.35	0	0	0		16.3	1.95	0	0	0	85.25	0	0
OPTIDXBANKNIFTY02-FEB-2023PE43400	1151.75	0	0	0		1358.85	207.1	0	0	0	42958.8	0	0
OPTSTKL&TFH29-MAR-2023CE99	5.65	0	0	0		4.8	0.85	0	0	0	88.5	0	0
OPTIDXBANKNIFTY23-FEB-2023PE43400	894.4	850	1165	850	1123.05	1123.05	228.65	47	975	39	42958.8	43339387.5	1024387.5
OPTSTKPFC25-JAN-2023PE99	0	0	0	0		0	0	0	0	0	154.5	0	0
OPTSTKSAIL23-FEB-2023PE99	12.95	0	0	0		15.15	2.2	0	0	0	85.25	0	0
OPTSTKTATASTEEL25-JAN-2023CE99	20.15	0	0	0		17.55	2.6	0	0	0	115.75	0	0
OPTIDXBANKNIFTY12-JAN-2023CE43400	455.3	435.75	497.3	222.7	251.6	251.6	203.7	9989	1772300	70892	42958.8	77513914665	596094665
OPTSTKFSL25-JAN-2023CE99	7.9	0	0	0		6.65	1.25	0	0	0	102.2	0	0
OPTSTKBHEL23-FEB-2023CE99	1.6	0	0	0		1.35	0.25	0	0	0	79.2	0	0
OPTIDXBANKNIFTY19-JAN-2023CE43400	631.05	647.95	674.95	385	415.55	415.55	215.5	187	12500	500	42958.8	548671455	6171455
OPTSTKL&TFH29-MAR-2023PE99	12.65	0	0	0		13.75	1.1	0	0	0	88.5	0	0
OPTSTKGAIL25-JAN-2023CE99	1.8	1.7	1.8	1.2	1.35	1.35	0.45	93	1107150	121	95.4	111213675	1605825
OPTSTKNATIONALUM25-JAN-2023CE99	0.5	0.25	0.25	0.2	0.2	0.3	0.2	57	180000	24	80.9	17857500	37500
OPTIDXBANKNIFTY23-FEB-2023CE43400	1245	1272	1272	1029.95	1043.2	1043.2	201.8	50	1625	65	42958.8	72297838.75	1772838.75
OPTSTKL&TFH25-JAN-2023PE99	9.7	0	0	0		11.15	1.45	0	0	0	88.5	0	0
OPTSTKRECLTD29-MAR-2023CE99	26.2	0	0	0		25.45	0.75	0	0	0	122.2	0	0
OPTIDXBANKNIFTY29-MAR-2023CE43400	2516.9	2642.8	2642.8	2642.8	2642.8	2236.35	280.55	1	25	1	42958.8	1151070	66070
OPTSTKMANAPPURAM23-FEB-2023PE99	1.05	0	0	0		1.05	0	0	0	0	121.6	0	0
OPTSTKBHEL25-JAN-2023PE99	18.6	0	0	0		19.65	1.05	0	0	0	79.2	0	0
OPTSTKRECLTD29-MAR-2023PE99	0.65	0	0	0		0.7	0.05	0	0	0	122.2	0	0
OPTSTKBEL23-FEB-2023CE99	7.05	0	0	0		6.05	1	0	0	0	98.75	0	0
OPTSTKRECLTD23-FEB-2023PE99	0.25	0	0	0		0.25	0	0	0	0	122.2	0	0
OPTIDXBANKNIFTY05-JAN-2023PE43400	198.5	199.9	561.75	129.95	461.5	461.5	263	16160	67467950	2698718	42958.8	2.94726E+12	19149946706
OPTIDXBANKNIFTY25-JAN-2023CE43400	762.05	784.3	809.85	503.3	536.25	536.25	225.8	2399	211825	8473	42958.8	9330295086	137090086.3
OPTSTKFEDERALBNK25-JAN-2023CE99	39.15	0	0	0		37.8	1.35	0	0	0	136.4	0	0
OPTSTKTATASTEEL23-FEB-2023PE99	1.35	0	0	0		1.7	0.35	0	0	0	115.75	0	0
OPTSTKTATASTEEL23-FEB-2023CE99	21.75	0	0	0		19.35	2.4	0	0	0	115.75	0	0
OPTSTKSAIL23-FEB-2023CE99	3.25	0	0	0		2.3	0.95	0	0	0	85.25	0	0
OPTSTKMANAPPURAM25-JAN-2023PE99	0.2	0	0	0		0.2	0	0	0	0	121.6	0	0
OPTSTKL&TFH23-FEB-2023CE99	3.65	0	0	0		2.9	0.75	0	0	0	88.5	0	0
OPTSTKFSL23-FEB-2023CE99	10.55	0	0	0		9.35	1.2	0	0	0	102.2	0	0
OPTSTKBEL29-MAR-2023PE99	6.1	0	0	0		6.75	0.65	0	0	0	98.75	0	0
OPTSTKJKCEMENT23-FEB-2023PE3300	380.85	0	0	0		417.2	36.35	0	0	0	2913.45	0	0
OPTIDXFINNIFTY24-JAN-2023PE18750	237.55	0	0	0		292.95	55.4	0	0	0	19007	0	0
OPTIDXNIFTY25-JAN-2023PE18000	123.35	124.75	215	121.5	199.4	199.4	76.05	70464	5919350	118387	18042.95	1.07597E+11	1049008008
OPTSTKPOLYCAB25-JAN-2023PE3300	696.3	0	0	0		691.2	5.1	0	0	0	2596.6	0	0
OPTSTKPIIND29-MAR-2023PE3300	165.05	0	0	0		191.5	26.45	0	0	0	3340.95	0	0
