CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	UNDRLNG_ST	NOTIONAL_V	PREMIUM_TR
OPTSTKHAL25-JAN-2023PE2940	451.85	0	0	0		423.55	28.3	0	0	0	2511.7	0	0
OPTSTKMARICO29-MAR-2023CE445	72.85	0	0	0		81	8.15	0	0	0	515.5	0	0
OPTSTKBOSCHLTD25-JAN-2023CE17500	177.5	189.8	222.9	171.4	222.9	354.65	177.15	77	600	12	17006.45	10612027.5	112027.5
OPTIDXFINNIFTY31-JAN-2023PE17500	56.4	0	0	0		76.05	19.65	0	0	0	18782.2	0	0
OPTSTKPFC25-JAN-2023PE164	10.3	10.55	10.55	8.15	8.15	9.15	1.15	7	43400	7	156.9	7499520	381920
OPTIDXFINNIFTY24-JAN-2023PE17500	32.2	0	0	0		45.75	13.55	0	0	0	18782.2	0	0
OPTSTKPFC29-MAR-2023CE164	7.5	0	0	0		8.5	1	0	0	0	156.9	0	0
OPTSTKBALRAMCHIN23-FEB-2023CE445	11.95	0	0	0		12.3	0.35	0	0	0	389.15	0	0
OPTSTKPIDILITIND29-MAR-2023CE2940	29.45	0	0	0		29.85	0.4	0	0	0	2518.1	0	0
OPTSTKOFSS23-FEB-2023PE2940	89.9	0	0	0		91.5	1.6	0	0	0	3006.7	0	0
OPTSTKSUNTV23-FEB-2023PE445	12.1	0	0	0		11	1.1	0	0	0	481.9	0	0
OPTIDXFINNIFTY28-MAR-2023CE17500	2021.15	0	0	0		1834.9	186.25	0	0	0	18782.2	0	0
OPTSTKTITAN29-MAR-2023CE2940	67.6	0	0	0		57.1	10.5	0	0	0	2562.1	0	0
OPTSTKSIEMENS29-MAR-2023CE2940	142.1	0	0	0		181.05	38.95	0	0	0	2895.05	0	0
OPTSTKBOSCHLTD23-FEB-2023CE17500	634.45	0	0	0		690.15	55.7	0	0	0	17006.45	0	0
OPTSTKHDFC23-FEB-2023CE2940	36.45	0	0	0		34.35	2.1	0	0	0	2621.6	0	0
OPTSTKSHREECEM25-JAN-2023CE17500	6574.9	0	0	0		6802.05	227.15	0	0	0	24238.1	0	0
OPTSTKAMBUJACEM23-FEB-2023PE445	5.2	0	0	0		4.35	0.85	0	0	0	524.75	0	0
OPTSTKACC25-JAN-2023PE2940	520.1	0	0	0		489.95	30.15	0	0	0	2440.2	0	0
OPTSTKTITAN23-FEB-2023CE2940	33.9	0	0	0		26.45	7.45	0	0	0	2562.1	0	0
